카테고리	키워드	분류	키워드	분류	키워드	분류	키워드	분류	키워드		A = antonym	E = equal	S = sub keyword	R = related	N = disable	@ = 출력키워드	NE = 검토중인 E	NS = 검토중인 S	NR = 검토중인 R						
	@잠복	E	잠입																						
		S	잠입수사	E	잠복수사																				
				E	잠복근무																				
		S	위장잠입																						
	@은둔생활																								
	@실종	E	실종사건																						
		E	행방불명	N	유괴																				
		S	실종자																						
	자살	S	분신자살																						
		S	동반자살																						
		S	투신자살																						
		S	집단자살																						
		S	자살미수	E	자살기도																				
				E	자살시도																				
	@탈출	S	@탈옥	S	@탈옥수	E	탈옥범																		
		N	쇼생크탈출																						
		N	일상탈출																						
		N	탈출구																						
	@구출	S	구출작전																						
	@생존	S	생존자																						
		S	@생존본능																						
	사고	S	@화재사고																						
		S	@교통사고	S	자동차사고																				
				S	오토바이사고																				
				S	접촉사고																				
				S	@음주운전																				
				S	@뺑소니																				
		S	@비행기사고	S	비행기추락																				
		S	@열차사고	S	열차탈선																				
				S	열차폭발																				
		S	@원자력사고	E	원전사고																				
		S	@의료사고																						
		S	폭발사고																						
		S	@총기사고																						
		S	@조난사고	E	조난																				
		S	@911테러	E	9.11																				
				E	911																				
	@재난	E	천재지변																						
		E	재앙																						
		S	@재난영화																						
		S	@화산폭발	S	화산	S	화산재																		
				S	활화산																				
		S	@태풍	E	허리케인																				
		S	@지진	E	대지진																				
		S	@홍수	S	대홍수																				
				S	쓰나미																				
		S	@폭풍	S	폭풍우																				
				S	폭우																				
				N	폭풍눈물																				
				N	폭풍감동																				
				N	폭풍전야																				
				N	폭풍성장																				
		S	@폭설																						
		S	@화재	S	화재사건	E	화재사고																		
				S	방화	S	방화범																		
		S	가뭄																						
		N	호우																						
	@항해																								
	@성폭력	S	성폭행	E	강간																				
				E	겁탈																				
				S	강간미수																				
				S	연쇄강간범																				
				S	미성년자 강간																				
		S	아동성범죄	E	아동성폭력																				
				E	아동성폭행																				
		S	집단성폭행																						
		S	성희롱	E	성추행																				
		S	성폭행범																						
	@전쟁	E	전투																						
		S	@핵전쟁																						
		S	비핵전쟁																						
		S	@우주전쟁																						
		S	내전	S	스페인내전																				
				R	민족분쟁																				
		S	@베트남전쟁	E	베트남전																				
				E	월남전																				
				S	베트남군인																				
		S	@6.25전쟁	E	육이오전쟁																				
				E	한국전쟁																				
				E	625																				
				E	6.25																				
		S	@이라크전쟁	E	이라크전																				
		S	@태평양전쟁	E	태평양전투																				
		S	테르모필레전투																						
		S	@병자호란																						
		S	@임진왜란																						
		S	@명량해전																						
		S	@세계대전	S	@1차세계대전	E	제1차세계대전																		
				S	@2차세계대전	E	제제2차세계대전																		
						E	제2차세계대전																		
				S	제3차세계대전																				
		S	세계정복																						
		R	세계평화																						
		S	@전쟁영웅																						
		S	전쟁노병																						
		S	@전쟁포로	S	포로수용소																				
		S	전쟁미망인																						
	@암살	S	암살음모	E	암살계획																				
		S	@킬러	E	암살단																				
				E	암살자																				
				E	암살요원																				
				E	살인병기																				
				E	살인청부업자																				
				S	여자킬러																				
																									
		S	케네디암살																						
		S	김일성암살계획																						
	@테러	E	대테러																						
		S	폭탄테러																						
		S	테러음모																						
		S	@911테러																						
		S	@테러리스트	E	테러범																				
				E	테러집단	S	반미테러집단																		
	@음모	S	음모론	E	음모이론																				
		S	살인음모	E	살해음모																				
		S	암살음모																						
		S	테러음모																						
		S	정치음모																						
		S	기업음모																						
	@여행	S	@신혼여행	E	밀월여행																				
				R	신혼부부																				
		S	@가족여행																						
		S	@커플여행																						
		S	@세계여행	E	해외여행	S	유럽여행																		
						S	이탈리아 여행																		
				E	세계일주																				
				N	비행기여행																				
				N	세계정복																				
		S	@국내여행	S	강릉여행																				
		S	@우주여행	S	화성여행																				
		S	@시간여행																						
		S	@배낭여행																						
		S	무전여행																						
		S	수학여행																						
		S	즉흥여행																						
		S	도보여행	R	자전거여행																				
				R	자동차여행																				
		S	자전거여행																						
		S	자동차여행																						
		S	여행가이드	S	여행사가이드																				
		S	여행사	S	여행사가이드																				
				S	여행사직원																				
				S	여행상품																				
		S	@여행가	S	여행작가																				
		S	여행객																						
		S	@캠핑																						
